id cond rt
1 1 0.56
1 1 0.93
1 1 0.795
1 1 0.615
1 1 1.028
1 1 0.845
1 1 0.723
1 1 0.942
1 1 0.938
1 1 0.926
1 1 0.897
1 1 0.87
1 1 0.759
1 1 0.722
1 1 0.711
1 1 0.668
1 1 0.737
1 1 0.602
1 1 1.303
1 1 1.017
1 1 0.617
1 1 0.708
1 1 0.699
1 1 0.917
1 1 0.756
1 1 0.813
1 1 0.765
1 1 0.763
1 1 1.058
1 1 0.734
1 1 1.098
1 1 0.573
1 1 0.876
1 1 0.79
1 1 0.806
1 1 0.836
1 1 0.694
1 1 0.718
1 1 0.629
1 1 0.623
1 1 0.822
1 1 0.849
1 1 0.778
1 1 0.948
1 1 1.262
1 1 0.695
1 1 0.509
1 1 0.968
1 1 0.666
1 1 0.669
1 2 1.043
1 2 0.77
1 2 0.638
1 2 0.853
1 2 0.794
1 2 0.82
1 2 0.894
1 2 0.756
1 2 0.95
1 2 0.78
1 2 0.883
1 2 1.062
1 2 0.904
1 2 0.763
1 2 1.076
1 2 1.035
1 2 0.929
1 2 0.864
1 2 0.717
1 2 1.135
1 2 0.721
1 2 1.416
1 2 1.187
1 2 0.778
1 2 0.662
1 2 0.705
1 2 0.868
1 2 0.776
1 2 0.759
1 2 0.672
1 2 0.811
1 2 0.694
1 2 0.589
1 2 0.754
1 2 1.016
1 2 0.724
1 2 0.942
1 2 0.595
1 2 0.809
1 2 0.922
1 2 0.877
1 2 0.838
1 2 0.715
1 2 0.685
1 2 0.663
1 2 0.841
1 2 0.672
1 2 0.737
1 2 0.774
1 2 1.289
2 1 0.686
2 1 0.827
2 1 0.799
2 1 0.647
2 1 0.773
2 1 1.105
2 1 0.868
2 1 0.792
2 1 0.719
2 1 0.537
2 1 1.021
2 1 0.591
2 1 0.929
2 1 1.247
2 1 0.593
2 1 0.92
2 1 0.743
2 1 0.58
2 1 0.586
2 1 0.577
2 1 0.703
2 1 0.591
2 1 0.917
2 1 1.312
2 1 0.609
2 1 0.939
2 1 0.935
2 1 0.845
2 1 0.641
2 1 0.765
2 1 0.74
2 1 0.891
2 1 0.726
2 1 0.983
2 1 0.726
2 1 1.001
2 1 0.636
2 1 0.612
2 1 1.809
2 1 0.719
2 1 0.839
2 1 0.906
2 1 0.71
2 1 0.882
2 1 0.852
2 1 0.75
2 1 0.797
2 1 0.78
2 1 1.322
2 1 0.674
2 2 0.665
2 2 0.843
2 2 0.898
2 2 0.925
2 2 0.757
2 2 0.67
2 2 1.135
2 2 0.775
2 2 0.696
2 2 0.794
2 2 0.801
2 2 1.091
2 2 0.852
2 2 0.998
2 2 0.75
2 2 0.878
2 2 0.779
2 2 0.854
2 2 0.692
2 2 0.639
2 2 1.379
2 2 0.962
2 2 0.646
2 2 0.733
2 2 0.654
2 2 1.458
2 2 1.149
2 2 0.789
2 2 0.949
2 2 0.764
2 2 0.754
2 2 0.707
2 2 0.736
2 2 1.256
2 2 0.826
2 2 0.859
2 2 0.884
2 2 1.126
2 2 0.748
2 2 0.679
2 2 1.264
2 2 0.76
2 2 0.716
2 2 0.648
2 2 0.642
2 2 0.739
2 2 0.966
2 2 1.091
2 2 0.987
2 2 0.772
3 1 0.893
3 1 0.754
3 1 0.752
3 1 1.091
3 1 0.707
3 1 1.451
3 1 0.862
3 1 0.926
3 1 0.748
3 1 0.775
3 1 0.666
3 1 0.844
3 1 0.972
3 1 0.95
3 1 0.741
3 1 0.74
3 1 0.787
3 1 1.28
3 1 0.69
3 1 0.845
3 1 1.429
3 1 0.86
3 1 0.661
3 1 0.76
3 1 0.988
3 1 0.809
3 1 0.777
3 1 0.815
3 1 0.899
3 1 1.315
3 1 0.863
3 1 1.147
3 1 1.024
3 1 0.858
3 1 0.639
3 1 0.784
3 1 0.789
3 1 0.89
3 1 1.215
3 1 1.595
3 1 1.298
3 1 0.854
3 1 0.614
3 1 0.807
3 1 0.899
3 1 1.08
3 1 1.113
3 1 1.037
3 1 0.656
3 1 1.081
3 2 0.849
3 2 0.982
3 2 0.958
3 2 1.045
3 2 0.947
3 2 0.658
3 2 1.13
3 2 1.034
3 2 0.884
3 2 0.968
3 2 0.972
3 2 0.993
3 2 1.439
3 2 0.894
3 2 0.98
3 2 1.265
3 2 1.228
3 2 1.258
3 2 0.824
3 2 1.593
3 2 0.957
3 2 1.533
3 2 0.7
3 2 0.946
3 2 1.293
3 2 0.799
3 2 0.793
3 2 0.762
3 2 0.744
3 2 0.85
3 2 1.02
3 2 0.617
3 2 0.991
3 2 1.289
3 2 1.609
3 2 1.311
3 2 1.136
3 2 0.65
3 2 0.82
3 2 0.867
3 2 1.12
3 2 0.918
3 2 0.713
3 2 1.457
3 2 1.182
3 2 0.997
3 2 1.282
3 2 0.701
3 2 1.108
3 2 0.834
4 1 0.935
4 1 0.79
4 1 0.924
4 1 1.098
4 1 0.801
4 1 1.014
4 1 0.63
4 1 0.688
4 1 1.151
4 1 0.871
4 1 0.544
4 1 0.61
4 1 0.766
4 1 0.977
4 1 0.783
4 1 0.922
4 1 1
4 1 1.198
4 1 0.81
4 1 0.791
4 1 0.571
4 1 0.818
4 1 0.709
4 1 0.656
4 1 0.77
4 1 1.013
4 1 0.549
4 1 0.731
4 1 0.821
4 1 0.666
4 1 0.862
4 1 0.878
4 1 0.794
4 1 0.511
4 1 1.53
4 1 0.765
4 1 0.928
4 1 0.85
4 1 1.016
4 1 0.966
4 1 0.765
4 1 0.871
4 1 0.659
4 1 0.975
4 1 0.726
4 1 1.465
4 1 0.581
4 1 0.725
4 1 0.968
4 1 0.898
4 2 0.75
4 2 0.69
4 2 0.881
4 2 0.85
4 2 0.595
4 2 0.859
4 2 0.891
4 2 0.888
4 2 0.682
4 2 0.953
4 2 1.195
4 2 0.948
4 2 0.671
4 2 0.775
4 2 0.924
4 2 0.741
4 2 0.56
4 2 1.053
4 2 0.713
4 2 0.752
4 2 1.236
4 2 0.722
4 2 1.043
4 2 0.656
4 2 0.788
